track_id,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,umur,calm,energic,sad,happy,angry
5zFEJ5R9FvqzlY3ayWCfPq,New Friends,Maty Noyes,0.675,0.72,1,-4.768,0,0.21,0.033,1.3e-05,0.0311,0.593,168.039,190547,4,dewasa,0,1,0,1,1
3i5jKbMOcBqgnKlx5UyH9d,Dance in the Dark,Au/Ra,0.754,0.534,9,-8.424,0,0.123,0.0721,0.00615,0.218,0.809,149.146,178187,4,dewasa,0,0,0,1,0
0ODyahnUlK9G5bT4dA5NCI,Little Game,Benny,0.606,0.54,1,-5.485,0,0.0412,0.0754,0.0,0.11,0.296,129.934,238534,4,dewasa,0,0,0,0,1
1HnTWOJNm9VyT4jDfNp7Ta,Invisible,Anna Clendening,0.77,0.509,1,-9.508,0,0.135,0.397,2.31e-06,0.206,0.601,165.908,186880,4,dewasa,0,1,0,1,0
1EQFOouqdKYdpbNoOHRVO2,abcdefu (angrier),GAYLE,0.671,0.599,4,-6.18,1,0.0405,0.0658,0.0,0.101,0.448,121.849,159836,3,dewasa,0,0,0,0,0
0gg5h5BgdjVlXTti79TUao,All Eyes on Me,OR3O,0.563,0.808,5,-4.728,0,0.0944,0.207,1.32e-06,0.282,0.372,110.023,242774,4,dewasa,0,0,0,0,1
5FgdPkPCffPktT5qnWls8Y,Hate Me,Nico Collins,0.644,0.928,6,-2.966,0,0.0939,0.00123,0.0,0.0793,0.571,95.059,189910,4,dewasa,0,0,0,0,1
7uUahoeqGNRMbpdeiLj1rS,Panic Room,Au/Ra,0.495,0.426,8,-9.434,1,0.0736,0.152,5.65e-06,0.099,0.0636,97.91,237773,4,dewasa,0,0,0,0,0
3R8PKPTPgHApBhCt3NUJ0q,Killing Butterflies,Lewis Blissett,0.592,0.783,6,-5.291,0,0.251,0.34,0.0216,0.0575,0.498,143.952,170000,4,dewasa,0,0,0,1,1
0IK8y0vAO0sM630HsxwLht,Middle Finger,Bohnes,0.685,0.656,1,-6.013,0,0.0383,0.437,0.0,0.347,0.392,128.003,229986,4,dewasa,0,0,0,0,1
0xx5CXMss5CFv2GPkg97aC,Sociopath,StayLoose,0.611,0.562,1,-7.849,0,0.0874,0.0767,3.23e-06,0.118,0.318,74.994,204827,4,dewasa,1,0,0,0,0
